Company code,Company Name,Sector,Industry,Year,EPS,BVPS,ROA,ROE,DIV,P/E Ratio,DAR,MB,DY,Market Cap,Total Assets,Year end price
NAB,National Australia Bank Limited,Financial Services,Banks - Diversified,2022,2.141,19.20732966901525,0.0065309735519738,17.873797262501693,1.51,12.624021670017662,0.1817081561822948,1.4071727231874769,0.0558679259237095,83068220195.20312,1055126000000.0,27.02803039550781
CSL,CSL Limited,Healthcare,Biotechnology,2022,4.81,30.10592527401028,0.079542087066958,1.9445035156919848,3.18121,58.26034704513709,0.3407112114584056,9.30820982037802,0.0113520473858801,135690428656.56152,28346000000.0001,280.2322692871094
BHP,BHP Group Limited,Basic Materials,Other Industrial Metals & Mining,2022,6.106,8.582580496100576,0.3246957947166005,1.951482590329328,4.632398,6.69320997081348,0.1726246768803984,4.7618242672300575,0.1133481969527217,207215544812.7832,95166000000.0,40.86874008178711
CBA,Commonwealth Bank of Australia,Financial Services,Banks - Diversified,2022,6.207,43.55858265686405,0.008796471536955,16.684422966034212,3.85,15.243799459421444,0.1247461448578905,2.1722071167923724,0.0406898189416782,158208360937.33887,1215260000000.0,94.6182632446289
WBC,Westpac Banking Corporation,Financial Services,Banks - Diversified,2022,1.599,20.4908351834069,0.0056142883342305,14.383950984980642,1.25,13.268244721279656,0.1736564260627609,1.0353859722861094,0.0589180108626486,72945012519.50098,1014198000000.0,21.21592330932617
GMG,Goodman Group,Real Estate,Real Estate - Diversified,2022,1.832,8.592174094998954,0.1592915399115358,1.3048804247235888,0.3,9.309126300062154,0.1354398014221459,1.984866599902844,0.0175908515189218,32601036930.08423,21432400000.0,17.054319381713867
MQG,Macquarie Group Limited,Financial Services,Capital Markets,2022,12.717,74.17016258361406,0.0117892859290137,13.85739082135666,6.5,12.206995253800276,0.0309442451449986,2.092975844128371,0.0418716340478317,59777483084.15039,399176000000.0,155.23635864257812
WES,Wesfarmers Limited,Consumer Cyclical,Home Improvement Retail,2022,2.078,7.031655811385381,0.0862454622126068,3.416990352086205,1.8,20.683013211086006,0.4429980565435811,6.112258990698368,0.0418806248394614,48781939004.76367,27271000000.0,42.97930145263672
FMG,Fortescue Ltd,Basic Materials,Other Industrial Metals & Mining,2022,2.014,5.630797178026952,0.2183964757709251,1.63591813202653,2.07,8.539090918926403,0.2150837004405286,3.0542263496594115,0.1203647287774731,52951122224.04492,28375000000.0,17.197729110717773
ANZ,ANZ Group Holdings Limited,Financial Services,Banks - Diversified,2022,2.5,22.160615216525663,0.0065568848211662,16.351094110028463,1.454302,8.337843322753907,0.1234156958135962,0.9406150552779092,0.0697687372479749,61993116448.20117,1085729000000.0,20.84460830688477
TLS,Telstra Group Limited,Communication Services,Telecom Services,2022,0.144,1.3284116578902077,0.0405496300566926,2.472411949872305,0.0699999999999999,25.361806154251106,0.3427740943595657,2.749223152717922,0.0191670541188814,42197826171.06738,41628000000.0,3.652100086212158
WDS,Woodside Energy Group Ltd,Energy,Oil & Gas E&P,2022,4.3,19.13680101043657,0.109539623404865,1.5977859778597785,3.061111,7.01592157053393,0.1097756275180796,1.5764632101699243,0.1014672515809767,57282367204.734375,59321000000.0,30.1684627532959
WTC,WiseTech Global Limited,Technology,Software - Application,2022,0.597,3.932191039809081,0.1170423805229936,1.2648266423357664,0.1115,84.68639431287296,0.0201382626991283,12.857406187274126,0.0022053975812126,16910060617.50293,1663500000.0,50.55777740478516
RIO,Rio Tinto Group,Basic Materials,Other Industrial Metals & Mining,2022,7.668,136.40037067367786,0.1283402566805133,1.834891261068239,4.695,13.647970956753614,0.1268005869345072,0.7672460183173262,0.0448626995156605,38848734891.47949,96774000000.0,104.65264129638672
ALL,Aristocrat Leisure Limited,Consumer Cyclical,Gambling,2022,1.429,9.583404152961435,0.0937215920319355,1.680375911136201,0.52,20.720349065568413,0.2751966325441682,3.0896514789629803,0.0175620030144599,18608043962.35034,10120400000.0,29.609378814697266
TCL,Transurban Group,Industrials,Infrastructure Operations,2022,0.0064,4.645895891148927,0.0004876170922622,2.558773312319412,0.525,1892.4835324287412,0.4527909662517644,2.607009474882719,0.0433458197095771,37595683637.28369,38965000000.0,12.111894607543944
WOW,Woolworths Group Limited,Consumer Defensive,Grocery Stores,2022,6.496,4.895259392820709,0.2384515973912782,5.451015727391874,0.92,4.8991274363888895,0.5038018814053437,6.501132886534216,0.0289083347192817,38876774661.47461,33273000000.0,31.824731826782227
REA,REA Group Limited,Communication Services,Internet Content & Information,2022,2.913,9.854901337450896,0.1497975708502024,1.884251448690677,1.64,37.26064549088274,0.1895826845219557,11.013835308778122,0.0151096007623471,14340013572.029114,2568800000.0,108.5402603149414
QBE,QBE Insurance Group Limited,Financial Services,Insurance - Property & Casualty,2022,0.5196,5.973123410426446,0.0155549270736536,5.505115658362978,0.28,24.03652420220144,0.0615126661549029,2.0909291700993333,0.0224190508566621,18801635097.533203,49501999999.9999,12.489377975463867
PME,Pro Medicus Limited,Healthcare,Health Information Services,2022,0.426,0.9735212777155762,0.2829781408587019,1.5437718711909725,0.22,128.72628762688436,0.0145112097344174,56.32891625926436,0.0040118606261645,5730453308.887482,157051000.0,54.837398529052734
COL,Coles Group Limited,Consumer Defensive,Grocery Stores,2022,0.788,2.3308387648342817,0.0556381397324272,6.029449423815621,0.63,19.641433270449564,0.5190061584200467,6.640291748457631,0.0407043811303543,20744271422.18164,18836000000.0,15.477449417114258
BXB,Brambles Limited,Industrials,Specialty Business Services,2022,0.419,1.772524522234242,0.0748011145151733,3.235975684386602,0.3231,27.160364574350435,0.3625326222625666,6.420330220485898,0.0283914347418339,15736871403.432983,7931700000.0,11.380192756652832
SUN,Suncorp Group Limited,Financial Services,Insurance - Property & Casualty,2022,0.538,10.023421780684105,0.0064016995995412,8.321833685363373,0.4,20.39374737934552,0.2227622252721427,1.0946198144860524,0.0364569791888675,13959686494.140623,106378000000.0,10.97183609008789
RMD,ResMed Inc.,Healthcare,Medical Instruments & Supplies,2022,0.534,2.2894021999770158,0.1529551578509034,1.516284009139624,0.172,57.25477340069602,0.180058176717421,13.354599290713807,0.005625686019626,44881482920.86572,5095853000.0,30.57404899597168
